address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
7704 Wingmont Dr,Charlotte,2.5,4,Charlotte,"Prepare to fall in love w/ this Highland Creek stunner! From the time you step inside, you'll feel at home! Den to your left & study to your right w/ built-ins. As you walk to the back of the home there is a 2nd study or playroom + the butler's pantry leading to kitchen. This kitchen is a place you'll want to gather as a family & entertain. Crisp, white cabinets, granite counters, stainless appliances, center island, recessed lighting & hardwoods. The breakfast nook flows seamlessly b/t the kitchen & family room w/ wall of windows for natural light. 2 story family room w/ double side fireplace is the perfect spot to relax. On the other side of the fireplace you'll find a great flex space! Currently a craft room & the possibilities are endless! Head upstairs to the Owner's Retreat w/ vaulted ceilings, walk-in closet & spacious bath. 3 generously sized bedrooms. The rear yard does not disappoint..2 patios, water features, natural areas & grassy areas for all of your needs. WELCOME HOME!",,385000,Single Family Home,3322,NC,3235,3247,3256,3310,3455,1995,28269
532 Blendwood Dr,Charlotte,1,2,Charlotte,"Great location, 2 Bed, 1 Bath, All brick exterior duplex condo home for less than 100k. All of the expensive items in home ownership such as roof, hvac, hot water heater etc...are new or less than 2 yrs old. The home features hardwood flooring, 2018 central heating and central air conditioning, 2018 hot water heater, all electric utilities. 2020 roof was just installed. Whether your a first time home owner or investor, this is an attractive rental income property to buy and hold and sure to appreciate. Similar condos in the area on Herrin are now selling for 250k. Dont wait till they have already appreciated to that price, get in today and enjoy the equity.",,99900,Condo/Townhome/Row Home/Co-Op,700,NC,467,478,488,504,552,1963,28215
5808 Hunting Ridge Ln Apt C,Charlotte,1,1,Charlotte,"Updated Condo! New Floor! Fresh paint! New Cabinets! Granite counter top! New garbage disposal! New Refrigerator, New Stove! New Dishwasher. Convenient location. Minutes to Uptown, across the bridge from MORA shopping, restaurants and new Aldi and lots more!",,105000,Condo/Townhome/Row Home/Co-Op,686,NC,301,312,322,336,542,1973,28212
143 Sleepy Hollow Rd,Charlotte,1.5,3,Charlotte,"Location, Location, Location. Come take a look at this beautifully maintained 1490 sq. ft. Charlotte home. Take advantage of easy access to nearby interstates and close proximity to the light rail for easy commutes. Minutes to downtown Charlotte where there are plenty of shopping and dining options within walking distance. Features a large eat-in kitchen, bright living room with entertaining in mind. Retreat to one of the three roomy bedrooms after a long exhausting day. Home has plenty of storage space throughout and a small building in the backyard to store your toys. Home being sold as is",,195000,Single Family Home,1490,NC,1066,1077,1087,1111,1291,1968,28217
2513 Wingdale Dr,Charlotte,2.5,3,Charlotte,"Convenient location in the University area, just 2 miles from hospital and UNC Charlotte as well as less than 10 min to highways 85 and 485. Located in Loren Farms Subdivision this homes features bedrooms and 2.5 baths. A 2 story living room that flows into dining area and kitchen. The great room has gas fireplace and large windows that provide lots of natural light. All 3 bedrooms are located on 2nd level of home. Master Bedroom has vaulted ceiling and master bath with garden tub and dual sinks. Schedule your showing today or watch video walk through.",1,200000,Single Family Home,1469,NC,1492,1503,1513,1543,1644,1999,28213
8420 Ainsworth St,Charlotte,2.5,3,Charlotte,"Awesome buy in a great location...walking distance from shopping and restaurants and Northlake Mall. The convenient location is just a short ride to UNC Charlotte and Lynx Light Rail System. This house has 3 bedrooms, 2.5 baths. Fresh paint job with new carpet and vinyl throughout. Just installed is a new range, microwave and dishwasher. It has a large clear backyard for relaxation or to entertain family and friends. This property has minor cosmetic repairs to be done but is a great buy! Dwelling is being SOLD AS IS. Please turn the lights out and remove shoes for new carpet. Please follow the COVID 19 guidelines. Please remove shoes to go up stairs.Supra located on the front door.",,219500,Single Family Home,1529,NC,1128,1140,1149,1174,1706,2004,28216
8600 Byway Rd,Charlotte,2,3,Charlotte,Charming brick ranch on a coul-de-sac street with no HOA. Rocking chair front porch with a planter for those with a green thumb. Walk inside to your cozy living room space. This house has fresh paint and LVP flooring throughout! The kitchen space adjoins a dining area with tons of natural light. Dedicated office with folding doors for added privacy when needed. 3 bedrooms and 2 full bathrooms are down the hallway. Lots of storage space with a separated laundry room complete with floor to ceiling cabinets. Great for pantry items or cleaning supplies. Private .8 acre yard on a low traffic street! Storage shed and a 1 car garage with electricity for those DIY projects. New roof on the garage. 10 minutes to Charlotte Douglas and the Whitewater Center! Don't miss out on this one.,,229800,Single Family Home,1594,NC,1455,1472,1493,1506,1462,1966,28214
2739 Phillips Ave,Charlotte,2,3,Charlotte,"This is the one! Fully renovated cottage on Charlotte's booming West side, with easy access to both South End and Uptown. Taken down to the studs with updated electrical, plumbing, new windows, new roof (front section '17, back section '20), new systems, added insulation, new baths and kitchen. Charming, open concept living room and dining room, both with great natural light. Kitchen has white cabinetry, granite countertops, subway tile backsplash and stainless appliances. 3 bedrooms (one works great as a home office), including the owners' suite with private bath with barn door, repurposed from original home. Hardwood floors & tile throughout, no carpet. Relax on the new deck overlooking the large, shaded backyard. Detached outbuilding/garage, great for storage. Welcome home!",,339000,Single Family Home,1260,NC,1083,1094,1104,1128,2519,1948,28208
4328 Frank Vance Rd,Charlotte,2,3,Charlotte,"Great investment opportunity. 3 bedroom/2 bathroom located near I-485 in Lakeview Village. The home is on a cul-de-sac street with a wooded backyard, offering lots of privacy. The price reflects the repair work needed to get this jewel of a home up to its potential. This home is being sold As-Is. The seller will NOT make any repairs to the home.",,155500,Single Family Home,1010,NC,1101,1112,1122,1147,1323,1998,28216
1111 24th St NW Unit 3A,DC,3,3,Washington,"Located in the highly sought after Westlight Condominiums, this unit is stunning! Floor-to-ceiling glass windows, open and sunlit living and dining spaces, euro-chic kitchens, and spa inspired bathrooms. The Westlight is a 5-star full service building with white glove services including 24-hour front desk concierge, a doorman, porter and on-site engineer Amenities include largest rooftop pool in the city with 360 degree views of downtown Washington, D.C. Private clubhouse with expansive grill terrace, state-of-the-art fitness center, bike storage and dog washing station.",2,2625000,Condo/Townhome/Row Home/Co-Op,2385,DC,,,,,,2017,20037
1255 Penn St NE Apt 1,DC,2,2,Washington,"Brand New 2 Level modern industrial loft that oozes elegance with parking included. Built with only the finest high quality materials, Restoration Hardware vanities and lighting, Carrara Marble countertops, backsplash and waterfall, Wide plank Imported European White Oak Floors throughout, Nest Thermostat, High end Bosch Appliances, Marvin Infinity Windows and Doors, and so much more! Building is perched upon one of the highest points in the city next just blocks away from all the restaurants and retail of Union Market, and H Street.",,599900,Condo/Townhome/Row Home/Co-Op,1300,DC,,,,,,2020,20002
730 24th St NW Units 420 & 421,DC,2,2,Washington,"Large 2BR/2BA residence in downtown DC - Located in the heart of the city just one block from the Foggy Bottom/GWU Metro. Estimated 1, 240sf of light-filled living space, open style kitchen with gas stove, ample cabinet space and breakfast bar, a living/dining room combination which opens up to a roughly 40 foot private balcony - the unit is on the back (quiet side) of the building. Full size Washer and Dryer! Generously-sized bedrooms and 2 full baths complete this amazing unit. Walkable to a plethora of dining options, Georgetown Waterfront, Whole Foods, Trader Joes, State Dept., GW Hospital, World Bank, IMF, and George Washington University. Co-op fee includes all utilities and property taxes, 24-hour front desk concierge and security, communal rooftop with stunning city views, private access bike storage plus additional resident storage room. Night and weekend guest parking available. 3RD PARTY SITES ARE INCORRECTLY SHOWING ADDITIONAL PROPERTY TAXES - taxes are included in the monthly co-op fee!",,579000,Condo/Townhome/Row Home/Co-Op,1252,DC,,,,,,1961,20037
